concept abstraction
statement accusation
pain ache
chemical acid
discipline acoustics
word adjective
chemical adrenaline
neurotransmitter adrenaline
doctrine aesthetic
feeling affection
document affidavit
feeling agony
serviceman aide
vehicle aircraft
crew aircrew
worker airman
vehicle airplane
fluid alcohol
representative alderman
alcohol ale
fluid ale
microorganism alga
mathematics algebra
science algebra
thoroughfare alley
tree almond
symbol alpha
diplomat ambassador
worker ambassador
drug amphetamine
vehicle amphibian
drug anaesthetic
adult anaesthetist
professional anaesthetist
inference analogy
discipline anatomy
disorder aneurysm
emotion anger
feeling anger
emotion animosity
feeling animosity
periodical annals
disorder anorexia
statement answer
insect ant
invertebrate ant
drug antibiotic
molecule antibody
era antiquity
feeling apathy
animal ape
mammal ape
insect aphid
invertebrate aphid
believer apostle
solid apple
fear apprehension
container aquarium
conduit aqueduct
clergyman archbishop
priest archbishop
discipline arithmetic
chair armchair
organization army
therapy aromatherapy
vessel artery
armament artillery
entertainer artiste
performer artiste
reptile asp
snake asp
vertebrate asp
drug aspirin
organization association
collection assortment
illness asthma
science astronomy
shelter asylum
professional attorney
phenomenon attraction
vehicle auto
record autobiography
vehicle automobile
offspring baby
microorganism bacterium
sport badminton
container baggage
worker bailiff
aircraft balloon
wood bamboo
decree ban
agreement bargain
entertainer baritone
singer baritone
aristocrat baroness
status baronetcy
obstruction barrier
container basket
game basketball
entertainer bassist
musician bassist
vertebrate bat
athlete batsman
player batsman
ship battleship
vehicle battleship
jewelry bead
vegetable bean
carnivore bear
mammal bear
vertebrate bear
hair beard
furniture bed
animal bee
invertebrate bee
tree beech
beverage beer
liquid beer
curve bend
chemical benzene
hydrocarbon benzene
drug benzodiazepine
emotion bereavement
solid berry
publication bestseller
fluid beverage
liquid beverage
fabric bib
vehicle bike
machine binder
game bingo
chemistry biochemistry
science biochemistry
scientist biologist
discipline biotechnology
aircraft biplane
airplane biplane
vehicle biplane
animal bird
anniversary birthday
emotion bitterness
feeling bitterness
color black
combustion blaze
herb bluegrass
mammal boar
aircraft bomber
airplane bomber
clothing bonnet
commodity bonnet
marker bookmark
shop bookshop
beverage booze
drug booze
boundary border
leader boss
container bottle
thoroughfare boulevard
payment bounty
people bourgeoisie
game bowling
container box
clothing bra
worker breaker
wind breeze
organization brethren
woman bridesmaid
organization brigade
alloy bronze
stream brook
kinsman brother
mammal buffalo
animal bug
invertebrate bug
container buggy
vehicle buggy
animal bull
mammal bull
dog bulldog
house bungalow
housing bungalow
organization bureau
merchant butcher
solid butter
animal butterfly
insect butterfly
vegetable cabbage
restaurant cafe
enclosure cage
symbol cairn
misfortune calamity
procedure calculation
animal calf
equipment camera
artist cameraman
site campsite
food candy
armament cannon
artillery cannon
molecule carbohydrate
chemical carbonate
cancer carcinoma
tumor carcinoma
bishop cardinal
leader cardinal
love caring
murder carnage
seafood carp
worker carpenter
container casket
container cassette
building castle
dwelling castle
house castle
housing castle
carnivore cat
mammal cat
illness cataract
misfortune catastrophe
player catcher
larva caterpillar
gathering caucus
herb celery
entertainer cellist
performer cellist
carbohydrate cellulose
chemical cellulose
site cemetery
herb cereal
building chalet
house chalet
enclosure chamber
alcohol champagne
wine champagne
leader chancellor
music chant
building chapel
carbon charcoal
vehicle chariot
institution charity
dwelling chateau
information checklist
list checklist
food cheese
worker chef
science chemistry
care chemotherapy
animal chick
bird chick
vertebrate chick
solid chicken
vegetable chilli
mammal chimpanzee
vertebrate chimpanzee
food chocolate
organization church
fluid cider
message cipher
room classroom
worker clerk
professional clinician
fool clown
organization club
building clubhouse
trainer coach
occupation coaching
insect cockroach
invertebrate cockroach
alcohol cocktail
illness cold
molecule collagen
protein collagen
organ colon
male colt
journalist columnist
performer comedian
entertainer comic
performer comic
statement comment
organization commission
organization committee
institution company
organization company
instrument compass
feeling compassion
trait competitiveness
feeling complacency
mixture compost
performance concert
music concerto
contraceptive condom
dwelling condominium
housing condominium
idea conjecture
attitude conservatism
statement contract
building convent
dwelling convent
meeting convention
transformation conversion
worker cook
book cookbook
solid cookie
temperature cool
right copyright
herb coriander
organization corporation
passageway corridor
discipline cosmology
house cottage
housing cottage
fiber cotton
organization council
attack counterattack
organization country
vehicle coupe
building courthouse
room courtroom
document covenant
vertebrate cow
workman cowboy
invertebrate crab
food cracker
furniture cradle
professional craftsman
insect cricket
athlete cricketer
discipline criminology
animal crocodile
game croquet
sport croquet
animal crow
undertaking crusade
tool cutlery
sport cycling
feeling cynicism
progenitor dad
relative dad
parent daddy
instrument dagger
art dance
entertainer dancer
discipline dancing
projectile dart
offspring daughter
disability deafness
merchant dealer
business dealership
leader dean
building deanery
dwelling deanery
house deanery
statement declaration
change decrease
animal deer
mammal deer
insanity dementia
clothing denim
medicine dentistry
science dentistry
organization department
